SRR057629,prostate carcinoma
SRR057630,prostate carcinoma
SRR057631,prostate carcinoma
SRR057632,prostate carcinoma
SRR057633,prostate carcinoma
SRR057634,prostate carcinoma
SRR057635,prostate carcinoma
SRR057636,prostate carcinoma
SRR057637,prostate carcinoma
SRR057638,prostate carcinoma
SRR057639,prostate carcinoma
SRR057640,prostate carcinoma
SRR057641,prostate carcinoma
SRR057642,prostate carcinoma
SRR057643,prostate carcinoma
SRR057644,prostate carcinoma
SRR057645,prostate carcinoma
SRR057646,prostate carcinoma
SRR057647,prostate carcinoma
SRR057648,prostate carcinoma
SRR057649,normal
SRR057650,normal
SRR057651,normal
SRR057652,normal
SRR057653,normal
SRR057654,normal
SRR057655,normal
SRR057656,normal
SRR057657,normal
SRR057658,normal
